"Released","Genre","Casts","Duration","Country","Production","Title"
"2023-04-09","Drama","Ben Lugo Touitou, Sandra Okunzuwa, Chris Akwarandu, Jennifer Agumba, Chiesonu Nwankwegu","134 min","Nigeria","Greenwealth Production","Sarah's Bind"
"2023-10-13","Drama","Zora Santos, Rejane Faria, Grace Passô, Larissa Siqueira, Domenica Dias","92 min","Brazil, France, Uruguay","Manjericão Filmes, Cimarrón Cine, In Vivo Films, CineFilms, Mars Films, Vitrine Filmes, Riofilme, Telecine, Canal Brasil, Rio Filme","Power Alley"
"2023-11-01","Comedy, Drama, Romance","Hugo Malpeyre, Fanny Ardant, Philippe Bas, Christel Henon, Konstantin Rommelfangen","100 min","France, Luxembourg","Superprod, Bidibul Productions, Film Fund Luxembourg, CNC, Centre National de la Cinématographie","Mr. Blake at Your Service!"
"2023-12-14","Drama","Gianfranco Poddighe, Thomas Sarbacher, Jeanne Balibar, Alex Freeman, José Oliveira","93 min","Belgium, France, Switzerland","Paraíso Production, Fox the Fox (BE), GoldenEggProduction, RTS, Golden Egg Productions, Radio Télévision Suisse (RTS), Paraïso Productions","Let Me Go"
"2023-10-26","Horror","David Lee Madison,","73 min","United States of America","DLM Productions","Full Moon Fever"
"2023-09-15","Drama, Music","Mathew Horne, Dyfan Dwyfor, Terri Dwyer, Timothy Spall, Holli Dempsey","98 min","United Kingdom","Buffalo Dragon (GB)","Bolan's Shoes"
"2023-10-26","Horror, Thriller","Paris Dylan, Dane DiLiegro, Columbus Short, Chris Moss, Kareem J. Grimes","97 min","N/A","N/A","Stay Out"
"2023-03-15","Documentary","N/A","N/A min","N/A","Boogaloo Films, Les Films d'Ici, Implicate.org, Les Films d’Ici","Remember my name"
"2023-12-01","Romance, Drama, Thriller","Richard Solano, Angeli Khang, Mark Anthony Fernandez, Larissa Buendia, Blaisdell Caloyloy","92 min","Philippines","Vivamax","Ganti-Ganti"
"2023-07-21","Crime, Action, Drama","Yuichi Nakamura, Chiharu Konno, Daisuke Nagakura, Hisayuki Teranaka, Tasuku Kobayashi","85 min","Japan","N/A","The Ransom"
"2023-12-22","Drama, History","Krishnendu Dewanji, Debnath Chattopadhyay, Mithun Chakraborty, Abir Chatterjee, Sohini Sarkar","101 min","India","SVF Entertainment, Jio Studios","Kabuliwala"
"2023-06-21","Horror, Comedy","Lee Jae-won, Park Sang-wook, Jeong Seo-ha, Heo Woong,","52 min","South Korea","R2D2 STUDIO","The Hand"
"2024-02-02","Music","Keisuke Kuwata, Hiroshi Matsuda, Hideyuki Nozawa, Kazuyuki Sekiguchi, Yuko Hara","147 min","Japan","N/A","Southern All Stars: Chigasaki Live 2023"
"2023-01-19","Crime, Comedy, Drama","Husam AlHarthi, Fahad Alqahtani, Khairia Abu Laban, Fatima Al-Banawi, Mohammad Alqass","120 min","Saudi Arabia","Boulevard Studios","Alhamour H.A."
"2023-12-20","Romance, Documentary","N/A","86 min","Brazil","Endemol Shine Brasil","Love Is Blind Brazil: After the Altar"
"2023-09-15","Comedy","Karol Biskup, Kacper Sasin, Maja Ostaszewska, Jakub Nosiadek, Anna Patynek","94 min","Poland","Akson Studio, Next Film, TVN Warner Bros. Discovery","The In-Laws 2"
"2023-12-05","Drama, Romance","Chansangavej Chayanit, Warawan Sinjit, Nisachon Siothaisong, Taddanai Praman, Pratarn Teeratada","98 min","Thailand","Sahamongkolfilm, True Visions Original Pictures","Supposed"
"2023-08-09","Documentary, Comedy","Elyse, Halle, Darcy Nolan, Chelsea, josh","100 min","Australia","Truce Films, MIFF Premiere Fund, MIFF Premiere Fund","This Is Going to Be Big"
"2023-08-13","Comedy, Drama","Dražen Kuhn, Andreas Kiendl, Wolfram Berger, Julia Franz Richter, Dejan Aćimović","103 min","Austria, Bosnia and Herzegovina, Croatia","Oktavijan Filmska Udruga, Nanook Film, Telefilm","Bosnian Pot"
"2023-04-22","Drama, Comedy","Gabriela Ditisheim, Andrés Rasdolsky, Pablo Ragoni, Martín Aletta, María Magdalena González","128 min","Argentina","Serie Gong Cine - La Zanfoña, Oficina Selena Toro","Terminal Young"
"2023-07-25","Documentary","Andy Casagrande,","44 min","N/A","N/A","Monster Hammerheads: Killer Instinct"
"2023-01-29","Drama, Comedy","Adir Miller, Carmel Netzer, Dana Fried, Saar Ben-Yossef, Yaniv Biton","131 min","Israel, Italy","Artomas Communications, Metro Communications","The Monkey House"
"2024-05-15","Thriller, Horror, Action, Drama","Alexis Manenti, Daouda Keita, Teddy Ponceau, Golshifteh Farahani, Claire Loth","95 min","France","Iconoclast Films, Lyly Films","Hood Witch"
"2023-09-08","Drama, Horror, Mystery","Bipin Karki, Anju Deuja, Sonam Choekyi Lama, B. Bishowkarma, Saugat Malla","87 min","Nepal, Sri Lanka","Icefall Productions, Cine Sankipa, Film Council Productions","The Red Suitcase"
"2024-09-19","Drama","Mauricio Pesutic, Hugo Medina, Alejandro Trejo, Daniel Alcaíno, Bastián Bodenhöfer","104 min","Brazil, Chile","Multiverso Produções, Cinestación","Prison in the Andes"
"2023-07-19","Drama","Stojan Matavulj, Stipe Radoja, Jasna Đuričić, Slavko Sobin, Mirela Brekalo","73 min","Croatia, Serbia","Biberche, MaXima film","Only When I Laugh"
"2025-09-26","Comedy, Romance","Alban Ivanov, Sara Giraudeau, Claudia Bacos, Pascale Arbillot, Xavier Lacaille","122 min","France","Zazi Films, Federation Studios, Korokoro","French Lover"
"2025-08-19","Crime, Drama, Thriller","Burn Gorman, Eddie Marsan, Suki Waterhouse, Sam Claflin, Benjamin Dilloway","87 min","United States of America","T-Street, MRC, Media Rights Capital, T-Street Productions","All the Devils Are Here"
"2025-09-26","Action, Crime","Park Gyu-young, Choi Hyun-wook, Yim Si-wan, Jeon Do-yeon, Jo Woo-jin","113 min","South Korea","See At Film, 씨앗필름","Mantis"
"2025-09-25","Romance, Music, Drama","James Lee Thomas, Walnette Marie Santiago, Serayah, Phylicia Rashād, Nijah Brenea","93 min","United States of America","Tyler Perry Studios","Ruth & Boaz"
"2025-09-23","Action, Crime, Thriller","Nicole J. Sunseri, Steven Knoll, Tisha Sloan, Patricia Ridgely-Storm, Dijon Duenas","162 min","United States of America","Warner Bros. Pictures, Ghoulardi Film Company, Domain Entertainment, Domain Entertainment","One Battle After Another"
"2025-09-25","Horror, Thriller","Richard Brake, Janis Ahern, Jamie Taylor Ballesta, J.R. Esposito, Rachel Shenton","98 min","United Kingdom, United States of America","Lionsgate, Fifth Element Productions, Sherbone Media, Lipsync Productions, Stream Media","The Strangers: Chapter 2"
"2025-09-19","Animation, Action, Fantasy","Kikunosuke Toya, Reina Ueda, Tomori Kusunoki, Karin Takahashi, Ai Fairouz","100 min","Japan","MAPPA","Chainsaw Man - The Movie: Reze Arc"
"2025-09-26","Drama, Romance","Alara-Star Khan, Brett Goldstein, Jamie Langlands, Steven Cree, Murray Bartlett","98 min","United States of America","MRC, Ryder Picture Company, Republic Pictures, Media Rights Capital, Republic Pictures","All of You"
"2026-03-18","Drama","Yoann Blanc, Samuel Kircher, Jef Jacobs, Guillaume Duhesme, Salahdine El Gharchi","92 min","Belgium, France","Hélicotronc, Les Films du Poisson","Wild Foxes"
"2025-05-20","Drama","Emad Ghoniem, Mohamed Abd El Hady, Mamdouh Saleh, Ziad Zaza, Achai Ayom","120 min","Egypt, Qatar, Tunisia, Germany, Sudan, France, Saudi Arabia","Station Films, Nomadis Images, MAD Solutions, Lagoonie Film Production, Film Clinic, Sophie Dulac Productions, CineWaves Films, Bonanza Films, AAFilms, Coorigines Production","Aisha Can't Fly Away"
"2024-02-28","Documentary","Ouarda Zorkani, Abdallah EZ Zouid, Zahra Jeddaoui, Said Masrour, Mohammed El Moudir","96 min","Egypt, Morocco, Qatar, Saudi Arabia","Insight Films, Fig Leaf Studios, Al Jazeera Documentary Channel, Red Sea Fund","The Mother of All Lies"
"2024-11-21","Romance","Alejandro Speitzer, Franco Masini, Bárbara López,","93 min","Mexico","BH5","Straight"
"2023-11-03","Horror, Thriller","Pablo Ragoni, Agustín Rittano, Jorge Prado, Laura Nevole, Karina Antoniali","85 min","Argentina","Molino Studio, Hudsonman Inc.","Deus Irae"
"2023-12-15","Comedy, Crime","Olayode Juliana, Funke Akindele, Yvonne Jegede, Rex Nosa, Timini Egbuson","134 min","Nigeria","Funke Ayotunde Akindele Network (FAAN)","A Tribe Called Judah"
"2023-08-11","Documentary, History","N/A","89 min","Australia, Germany, Ireland, Spain, United Kingdom, United States of America","Blueprint Pictures","Face Down"
"2023-10-20","Thriller, Drama","Elmer Bäck, Saara Kotkaniemi, Outi Mäenpää, Timo Torikka, Nicola Perot","105 min","Finland, Germany","BUFO, StickUp Filmproduktion, Oy Bufo Ab","Power of Love"
"2023-11-05","Drama, History","Gianfranco Poddighe, Rafaëlle Sonneville-Caby, Raffaella Ducrey Giordano, Irina Valvilova, Enrico Basile","100 min","France, Italy","Geko Films, Tempesta","Maria Montessori"
"2023-10-12","Music, Documentary, TV Movie","Ludovic Tézier, Sonya Yoncheva, Jonas Kaufmann,","113 min","Germany","CinemaLive (GB), Arena di Verona","Jonas Kaufmann: Arena di Verona 2023"
"2023-01-17","Documentary","Sam Booth, Felix Barrett, Fania Grigoriou, Fionn Cox-Davies, Kath Duggan","53 min","United Kingdom","Sky Arts","Punchdrunk: Behind the Mask"
"2023-11-29","Documentary","N/A","85 min","Australia","N/A","The Jewish Nazi?"
"2023-01-14","Documentary","Neil Pearson, Eddie Izzard, Martin Gibbons, Marcus Brigstocke, Jack Dee","89 min","United Kingdom","Crook Productions","Hancock: Very Nearly an Armful"
"N/A","N/A","N/A","N/A min","N/A","N/A","Denim Hunter"
"2023-12-06","Music, Documentary","Ed Sheeran, Graham Norton, Benedict Cumberbatch, Courtney Love, James Blunt","95 min","United Kingdom","Next of Kin Films, Lorton Entertainment","James Blunt: One Brit Wonder"
"2025-08-28","Drama, Romance, Comedy","Revathi Pillai, Fahadh Faasil, Kalyani Priyadarshan, Sreekanth Vettiyar, Saaf","153 min","India","Ashiq Usman Productions","Odum Kuthira Chadum Kuthira"
"2025-08-01","Comedy, Drama","Deepak Dobriyal, Mukul Dev, Ravi Kishan, Sharat Saxena, Mrunal Thakur","142 min","India","Jio Studios, Ajay Devgn FFilms","Son of Sardaar 2"
"2024-09-11","Documentary","Sarkis Gounon, Habib Ahandessi, Morias Agbessi, Sabine Badjogoumin, Lucrèce Hougbelo","68 min","France, Senegal","Les Films du Bal, Fanta Sy, ARTE France Cinéma","Dahomey"
"2025-03-28","Thriller, Crime, Drama","Han Soto, Pavie Vega, DreamDoll, Garrett Hendricks, NLE Choppa","93 min","United States of America","Blacklight Pictures","Black Heat"
"2025-09-04","Thriller, Action, Adventure","Robert Farrior, Arvin Kananian, Matt Craven, Ana Golja, Scott Eastwood","110 min","United Kingdom, United States of America","Voltage Pictures, Vigorous Pictures, Hangtime International Pictures, Anjulia Productions, Braven Films","Stolen Girl"
"2025-08-23","Horror","Marven Jean, Sylwia K. Dudzinska, Matt Demayo, Ruben Chavez, Connor Flynn","85 min","United States of America","Torchlight Studios","Noseeums"
"2024-11-02","Horror, Science Fiction","Grayson Kelly, Paul Bradford, Melvin S. Marsh, Ellen Mildred Brown, Jason Tannis","70 min","United States of America","SRS Cinema","Kaiju Glam Metal Shark Attack"
"2023-11-10","Family","Cameron Arnett, Corey Cannon, Melissa Blanco, Sharon Oliphant, Jessica Rae","83 min","United States of America","LAMA Entertainment, Bridge and Acorn Entertainment","The Great Turkey Town Miracle"
"2023-03-01","Drama","Tykitta Hunter, Vernon Snoop Robinson, Darius Bailey, Carl Brown Jr., Laniya Brown","101 min","N/A","N/A","The Forbidden Daughter"
"2024-04-10","Documentary, Music","Emily Saliers, Amy Ray, Winona LaDuke,","124 min","United States of America","Impact Partners, Multitude Films, InMaat Productions, Chicken & Egg Films, TinFish Films, Red Reel, Chicken And Egg Pictures","Indigo Girls: It's Only Life After All"
"2024-02-01","Romance","Michael A. Dean, Britton Webb, Ashton Leigh, Cassie Brown, Eric Pfeifer","89 min","N/A","Reel One Entertainment","For the Love of Lily"
"2023-02-03","Comedy","Sonia Bohosiewicz, Izabela Kuna, Mirosław Bieliński, Jakub Wojtas, Rafał Rutkowski","85 min","Poland","Gigant Films, Canal+ Polska","Masz ci los!"
"2023-09-28","Horror, Mystery, Thriller","Thiti Rhumorn, Sonthaya Chitmanee, Anyarin Terathananpat, Adull Borsu, Hakim Donlapavijit","98 min","Thailand","M39","The Djinn's Curse"
"2023-11-30","Comedy, Drama","Karel Roden, Zuzana Kanócz, Simona Postlerová, Regina Rázlová, David Depta","113 min","Czech Republic, Slovakia","Phoenix Production, Česká televize, VIRUSfilm, RTVS, i/o post, Czech Television","Waltzing Matilda"
"2023-10-04","Drama, Thriller, Crime","Vicky Araico, Ester Expósito, Mayra Hermosillo, Bárbara Mori, Maria Fernanda Osio","123 min","Denmark, Germany, Mexico, Netherlands, United Kingdom","Pimienta Films, Tres Tunas, Cárcava Cine, The Match Factory, Snowglobe, Sula Films, Bord Cadre Films, Sovereign Films, Match Factory Productions","Lost in the Night"
"2023-10-19","Drama, Romance","Darko Milas, Lino Brozić, Luna Pilić, Selena Andrić, Selma Sauerborn","115 min","Croatia, Serbia","Interfilm, Zillion Film, Zillion Films","Holy Family"
"2023-10-26","Drama, Thriller","Aishwarya Rajesh, Jaffer Idukki, Chemban Vinod Jose, Abu Salim, Krishna Prabha","108 min","India","Einstin Media Pvt Ltd","Pulimada"
"2024-12-05","Animation, Music, Drama","Gabrielle Kaur Cheema,","7 min","Canada","Téléfilm Canada, Canada Media Fund | Fonds des médias du Canada, Mainframe Studios, Canada Media Fund","Ostinato"
"2023-11-02","Animation, Family, Fantasy","Ivana Uhlířová, Jana Plodková, Sabina Remundová, Eva Holubová, Michael Polák","80 min","Czech Republic, Hungary, Slovakia","nutprodukcia, Nutprodukce, Filmfabriq, Česká televize, RTVS, Czech Television","Tony, Shelly and the Magic Light"
"2025-05-23","Drama","Eva Zingaro, Janaïna Halloy Fokan, Mathilde Legrand, India Hair, Adrienne D'Anna","106 min","Belgium, France","Les Films du Fleuve, Archipel 33>35, The Reunion, France 2 Cinéma, BeTV, Orange, Proximus, RTBF, Centre du Cinéma et de l'Audiovisuel de la FWB, Orange, Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, Archipel 35, Radio Télévision Belge Francophone","Young Mothers"
"2025-10-10","Drama, Thriller","Andrew Garfield, Thaddea Graham, Christine Dye, Michael Stuhlbarg, Nora Garrett","139 min","Italy, United States of America","Frenesy Film, Imagine Entertainment, Big Indie Pictures, Amazon MGM Studios, Frenesy Film Company","After the Hunt"
"2025-01-29","Documentary","N/A","60 min","United Kingdom","Entertain ME","The Seven Deadly Enemies: WWII Germany"
"2024-03-21","Science Fiction, Action, Mystery","Yekaterina Vasilyeva, Anton Lavrentev, Anastasiya Reznik, Elizaveta Naletova, Andrew Winn","84 min","Russia","KD Studios, KD Studios","Identity"
"2025-09-25","TV Movie, Documentary","Kathleen Martinez,","67 min","United Kingdom, United States of America","National Geographic, Lion Television","Cleopatra's Final Secret"
"2024-11-11","Drama, Comedy","Luc Clopton, Bailey McCall, Gerard Comple, Paul Santoli, Joe Porciello","95 min","United States of America","516 Productions","Because of Mika"
"2025-06-06","Horror, Thriller","N/A","80 min","United States of America","Badlands, Thunder Road","Arachnid"
"2024-08-18","Documentary","Ava Godfrey, Hayley Wilson, Charlotte Heath,","87 min","Australia","Screen Australia, VicScreen, MIFF Premiere Fund, Madman Entertainment, Concrete Dreams, MIFF Premiere Fund","Queens of Concrete"
"2025-02-27","Adventure, Action, Fantasy, Music, Science Fiction","Rhett Ashley Crosby, Krista Cooper-Schmidt, Michael Jason Allen, Tony P. Rush, Allyson Lambert","85 min","United States of America","He Said She Said Productions","Moon Valley Quest"
"2024-01-01","Horror","Toni Pandolfo, Arianna Panieri, Marco Cevoli, Sofia Pieroni, Isacco Salvi","102 min","United States of America","V Channels Media, V Channels Media","Man in the Fields"
"2025-07-11","Science Fiction, Drama","N/A","120 min","Australia","N/A","Long Night in Pexington"
"2024-09-29","Horror","Alex Javo, Lorelei Linklater, John Zimmermann, Rachel Tracy, Aaron Blomberg","89 min","United States of America","Defiant Productions, Defiant Productions","Left One Alive"
"2025-07-01","Horror","DeAnna Noel, Rebecca Blackmore, Alfons Emilian, Jackie Luke, Zane Shieh","92 min","United States of America","3rd Vision Pictures","Lechuza"
"2020-09-05","Horror","Judith O'Dea, Felissa Rose, Christina Nicholls, Margaret Alice, Vernon Wells","94 min","United States of America","N/A","Kill Giggles"
"2024-08-02","Drama","Sri Krishna Dayal, Kaala Kumar, Chetan, KVN Manimegalai, Vasant Marimuthu","133 min","India","SSBV Learn and Teach Production Private Limite","Jama"
"2024-10-01","Horror, Action, Adventure, Thriller","Tayah Kansik, Johan Wickholm, Michael Paré, Costas Mandylor, Rebecca Davis","90 min","United Kingdom","Broken Hand Productions, Temple Gate Films, Shaniah Productions, Martin Nuza Productions","In Tenebras: Into the Darkness"
"2023-11-10","Horror","Sean Donohue, Thomas Antalek, Deborah Dutch, David Perry, Joel D. Wynkoop","80 min","United States of America","N/A","I Slay On Christmas"
"2025-09-04","Drama, Crime","John Vijay, Ramya Krishnan, VTV Ganesh, Jagapati Babu, Anushka Shetty","155 min","India","UV Creations, First Frame Entertainment","Ghaati"
"2025-06-12","Thriller, Action","Ramiro Blas, Maite Lanata, Gabriel Dieb, Julieta Díaz, Pedro Peligro","80 min","Argentina","Dukkah Producciones, Perspectiva Audiovisual, INCAA, Instituto Nacional de Cine y Artes Audiovisuales","Gunman"
"2025-05-21","Comedy","Kaye Abad, Isay Alvarez, Empoy Marquez, Kit Thompson, Gabe Mercado","112 min","N/A","Mavx Productions","ConMom"
"2024-10-23","Drama, Thriller, Crime","Rhys Williams, Julián Génisson, Segundo testigo, Marta Bassols, Paula Alvarez","49 min","Germany, Spain","Apellaniz y de Sosa, Tasio, Paola Álvarez Filmproduktion","Mamántula"
